period,MBBL,MBBL/D,year,month,quarter,dayofyear,weekofyear,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,target
1994-12-01,97534,3146,1994,12,4,335,48,3134.0,3089.0,3121.0,3114.6666666666665,3105.8333333333335,23.15887159028477,23.726918608625592,3143.0
1995-01-01,97435,3143,1995,1,1,1,52,3146.0,3134.0,3089.0,3123.0,3110.1666666666665,30.04995840266595,28.687395606091002,3165.0
1995-02-01,88631,3165,1995,2,1,32,5,3143.0,3146.0,3134.0,3141.0,3122.3333333333335,6.244997998552553,23.20057470539126,3113.0
1995-03-01,96510,3113,1995,3,1,60,9,3165.0,3143.0,3146.0,3151.3333333333335,3133.0,11.930353445528793,25.976912826466567,3136.0
1995-04-01,94089,3136,1995,4,2,91,13,3113.0,3165.0,3143.0,3140.3333333333335,3131.6666666666665,26.10236260063944,26.904770332796055,3167.0
1995-05-01,98167,3167,1995,5,2,121,18,3136.0,3113.0,3165.0,3138.0,3139.5,26.057628441627827,17.02645001149335,3131.0
1995-06-01,93931,3131,1995,6,2,152,22,3167.0,3136.0,3113.0,3138.6666666666665,3145.0,27.098585448972376,19.969977466034166,3131.0
1995-07-01,97064,3131,1995,7,3,182,26,3131.0,3167.0,3136.0,3144.6666666666665,3142.5,19.502136635129112,20.74367373427135,3065.0
1995-08-01,95006,3065,1995,8,3,213,31,3131.0,3131.0,3167.0,3143.0,3140.5,20.784609690872532,21.257939693062646,3103.0
1995-09-01,93103,3103,1995,9,3,244,35,3065.0,3131.0,3131.0,3109.0,3123.8333333333335,38.105117766541106,33.742653521329125,3003.0
1995-10-01,93104,3003,1995,10,4,274,39,3103.0,3065.0,3131.0,3099.6666666666665,3122.1666666666665,33.126021996842816,34.62032158516808,3159.0
1995-11-01,94759,3159,1995,11,4,305,44,3003.0,3103.0,3065.0,3057.0,3100.0,50.477717856516215,58.402054758318634,3133.0
1995-12-01,97109,3133,1995,12,4,335,48,3159.0,3003.0,3103.0,3088.3333333333335,3098.6666666666665,79.02742140127901,56.63096914816404,3145.0
1996-01-01,97493,3145,1996,1,1,1,1,3133.0,3159.0,3003.0,3098.3333333333335,3099.0,83.57830659528412,56.864751823899155,3166.0
1996-02-01,91811,3166,1996,2,1,32,5,3145.0,3133.0,3159.0,3145.6666666666665,3101.3333333333335,13.012814197368172,58.69809764089738,3197.0
1996-03-01,99092,3197,1996,3,1,61,9,3166.0,3145.0,3133.0,3148.0,3118.1666666666665,16.703293088546722,60.64459305379527,3147.0
1996-04-01,94403,3147,1996,4,2,92,14,3197.0,3166.0,3145.0,3169.3333333333335,3133.8333333333335,26.1597655443467,67.67692861426664,3150.0
1996-05-01,97639,3150,1996,5,2,122,18,3147.0,3197.0,3166.0,3170.0,3157.8333333333335,25.23885892828461,22.364406244314125,3129.0
1996-06-01,93860,3129,1996,6,2,153,22,3150.0,3147.0,3197.0,3164.6666666666665,3156.3333333333335,28.041635710764037,22.57136829394057,3125.0
1996-07-01,96868,3125,1996,7,3,183,27,3129.0,3150.0,3147.0,3142.0,3155.6666666666665,11.357816691684498,23.440705336245788,3141.0
1996-08-01,97368,3141,1996,8,3,214,31,3125.0,3129.0,3150.0,3134.6666666666665,3152.3333333333335,13.428824719060643,26.485216001774987,3167.0
1996-09-01,95010,3167,1996,9,3,245,35,3141.0,3125.0,3129.0,3131.6666666666665,3148.1666666666665,8.32666399798024,25.86438993405115,3203.0
1996-10-01,99291,3203,1996,10,4,275,40,3167.0,3141.0,3125.0,3144.3333333333335,3143.1666666666665,21.197484127491094,15.263245613584498,3199.0
1996-11-01,95973,3199,1996,11,4,306,44,3203.0,3167.0,3141.0,3170.3333333333335,3152.5,31.13411847692479,29.008619408617374,3226.0
1996-12-01,99994,3226,1996,12,4,336,48,3199.0,3203.0,3167.0,3189.6666666666665,3160.6666666666665,19.73153144931111,34.535006394392596,3166.0
1997-01-01,98140,3166,1997,1,1,1,1,3226.0,3199.0,3203.0,3209.3333333333335,3176.8333333333335,14.571661996324064,39.14290059079492,3259.0
1997-02-01,91244,3259,1997,2,1,32,5,3166.0,3226.0,3199.0,3197.0,3183.6666666666665,30.0499584026634,31.02042337978164,3233.0
1997-03-01,100219,3233,1997,3,1,60,9,3259.0,3166.0,3226.0,3217.0,3203.3333333333335,47.148700936523895,35.6239619731025,3249.0
1997-04-01,97478,3249,1997,4,2,91,14,3233.0,3259.0,3166.0,3219.3333333333335,3214.3333333333335,47.98263574810264,32.18488257957661,3266.0
1997-05-01,101239,3266,1997,5,2,121,18,3249.0,3233.0,3259.0,3247.0,3222.0,13.114877048669337,34.35112807455564,3284.0
1997-06-01,98529,3284,1997,6,2,152,22,3266.0,3249.0,3233.0,3249.3333333333335,3233.1666666666665,16.50252505936717,36.218319489745475,3270.0
1997-07-01,101364,3270,1997,7,3,182,27,3284.0,3266.0,3249.0,3266.3333333333335,3242.8333333333335,17.502380790481347,41.30577037971036,3266.0
1997-08-01,101243,3266,1997,8,3,213,31,3270.0,3284.0,3266.0,3273.3333333333335,3260.1666666666665,9.451631252593266,17.679555047045266,3319.0
1997-09-01,99581,3319,1997,9,3,244,36,3266.0,3270.0,3284.0,3273.3333333333335,3261.3333333333335,9.451631252593266,17.817594300620758,3338.0
1997-10-01,103477,3338,1997,10,4,274,40,3319.0,3266.0,3270.0,3285.0,3275.6666666666665,29.512709126775317,23.988886315576018,3353.0
1997-11-01,100594,3353,1997,11,4,305,44,3338.0,3319.0,3266.0,3307.6666666666665,3290.5,37.3139830805415,30.761989532458514,3352.0
1997-12-01,103910,3352,1997,12,4,335,49,3353.0,3338.0,3319.0,3336.6666666666665,3305.0,17.03917055888807,36.81304116743434,3434.0
1998-01-01,106453,3434,1998,1,1,1,1,3352.0,3353.0,3338.0,3347.6666666666665,3316.3333333333335,8.386497083696835,39.4292615535972,3414.0
1998-02-01,95592,3414,1998,2,1,32,5,3434.0,3352.0,3353.0,3379.6666666666665,3343.6666666666665,47.05670338362846,54.7527777072744,3406.0
1998-03-01,105573,3406,1998,3,1,60,9,3414.0,3434.0,3352.0,3400.0,3368.3333333333335,42.75511665288048,45.28428719393067,3444.0
1998-04-01,103313,3444,1998,4,2,91,14,3406.0,3414.0,3434.0,3418.0,3382.8333333333335,14.42220510190413,39.942041343207556,3374.0
1998-05-01,104584,3374,1998,5,2,121,18,3444.0,3406.0,3414.0,3421.3333333333335,3400.5,20.033305601790108,39.58661389909419,3343.0
1998-06-01,100303,3343,1998,6,2,152,23,3374.0,3444.0,3406.0,3408.0,3404.0,35.042830935890464,35.23634487281534,3253.0
1998-07-01,100838,3253,1998,7,3,182,27,3343.0,3374.0,3444.0,3387.0,3402.5,51.73973328111999,37.9776249915127,3294.0
1998-08-01,102100,3294,1998,8,3,213,31,3253.0,3343.0,3374.0,3323.3333333333335,3372.3333333333335,62.85167725156488,67.98431191578265,2942.0
1998-09-01,88266,2942,1998,9,3,244,36,3294.0,3253.0,3343.0,3296.6666666666665,3352.3333333333335,45.059220292132515,70.86513011814966,3217.0
1998-10-01,99720,3217,1998,10,4,274,40,2942.0,3294.0,3253.0,3163.0,3275.0,192.48636315334605,175.90906741835406,3223.0
1998-11-01,96692,3223,1998,11,4,305,44,3217.0,2942.0,3294.0,3151.0,3237.1666666666665,185.04864225387288,155.52159549934348,3180.0
1998-12-01,98588,3180,1998,12,4,335,49,3223.0,3217.0,2942.0,3127.3333333333335,3212.0,160.53140918005798,140.43646250171122,3137.0
1999-01-01,97240,3137,1999,1,1,1,53,3180.0,3223.0,3217.0,3206.6666666666665,3184.8333333333335,23.28805129964841,124.93745101714299,3167.0
1999-02-01,88682,3167,1999,2,1,32,5,3137.0,3180.0,3223.0,3180.0,3165.5,43.000000000020556,121.19859735159558,3095.0
1999-03-01,95934,3095,1999,3,1,60,9,3167.0,3137.0,3180.0,3161.3333333333335,3144.3333333333335,22.052966542738186,104.16077316658462,3174.0
1999-04-01,95211,3174,1999,4,2,91,13,3095.0,3167.0,3137.0,3133.0,3169.8333333333335,36.16628264007574,48.66381270164591,3162.0
1999-05-01,98015,3162,1999,5,2,121,17,3174.0,3095.0,3167.0,3145.3333333333335,3162.6666666666665,43.73023363000882,43.18641761782079,3164.0
1999-06-01,94927,3164,1999,6,2,152,22,3162.0,3174.0,3095.0,3143.6666666666665,3152.5,42.5715084691059,31.82923184737713,3190.0
1999-07-01,98896,3190,1999,7,3,182,26,3164.0,3162.0,3174.0,3166.6666666666665,3149.8333333333335,6.429100507466671,29.660860855017937,3152.0
1999-08-01,97707,3152,1999,8,3,213,30,3190.0,3164.0,3162.0,3172.0,3158.6666666666665,15.620499351869903,32.800406501456486,3218.0
1999-09-01,96540,3218,1999,9,3,244,35,3152.0,3190.0,3164.0,3168.6666666666665,3156.1666666666665,19.425069712490366,32.609303375889134,3243.0
1999-10-01,100521,3243,1999,10,4,274,39,3218.0,3152.0,3190.0,3186.6666666666665,3176.6666666666665,33.12602199683919,23.98888631556075,3287.0
1999-11-01,98621,3287,1999,11,4,305,44,3243.0,3218.0,3152.0,3204.3333333333335,3188.1666666666665,47.01418225743208,35.991202628711434,3278.0
1999-12-01,101616,3278,1999,12,4,335,48,3287.0,3243.0,3218.0,3249.3333333333335,3209.0,34.93326972006715,50.903830897039846,3141.0
2000-01-01,97380,3141,2000,1,1,1,52,3278.0,3287.0,3243.0,3269.3333333333335,3228.0,23.245071162182402,52.01153718161531,3183.0
2000-02-01,92304,3183,2000,2,1,32,5,3141.0,3278.0,3287.0,3235.3333333333335,3219.8333333333335,81.81890572071339,62.04971125364862,3250.0
2000-03-01,100736,3250,2000,3,1,61,9,3183.0,3141.0,3278.0,3200.6666666666665,3225.0,70.18784320190393,56.29564814436842,3205.0
2000-04-01,96156,3205,2000,4,2,92,13,3250.0,3183.0,3141.0,3191.3333333333335,3230.3333333333335,54.97575223073421,57.0111100283202,3228.0
2000-05-01,100057,3228,2000,5,2,122,18,3205.0,3250.0,3183.0,3212.6666666666665,3224.0,34.15162270427335,57.43169856442108,3245.0
2000-06-01,97341,3245,2000,6,2,153,22,3228.0,3205.0,3250.0,3227.6666666666665,3214.1666666666665,22.501851775687445,48.905691556925454,3196.0
2000-07-01,99064,3196,2000,7,3,183,26,3245.0,3228.0,3205.0,3226.0,3208.6666666666665,20.07485989992664,41.601282031460244,3228.0
2000-08-01,100075,3228,2000,8,3,214,31,3196.0,3245.0,3228.0,3223.0,3217.8333333333335,24.879710609283368,27.3160514471098,3222.0
2000-09-01,96667,3222,2000,9,3,245,35,3228.0,3196.0,3245.0,3223.0,3225.3333333333335,24.879710609283368,21.369760566304784,3222.0
2000-10-01,99884,3222,2000,10,4,275,39,3222.0,3228.0,3196.0,3215.3333333333335,3220.6666666666665,17.009801096280704,17.637082147032316,3220.0
2000-11-01,96612,3220,2000,11,4,306,44,3222.0,3222.0,3228.0,3224.0,3223.5,3.464101615380661,15.896540503974945,3240.0
2000-12-01,100447,3240,2000,12,4,336,48,3220.0,3222.0,3222.0,3221.3333333333335,3222.1666666666665,1.1547005391098748,15.778677595450572,3248.0
2001-01-01,100698,3248,2001,1,1,1,1,3240.0,3220.0,3222.0,3227.3333333333335,3221.3333333333335,11.0151410946483,14.40370322733591,3215.0
2001-02-01,90028,3215,2001,2,1,32,5,3248.0,3240.0,3220.0,3236.0,3230.0,14.422205101913576,11.454256850383377,3262.0
2001-03-01,101127,3262,2001,3,1,60,9,3215.0,3248.0,3240.0,3234.3333333333335,3227.8333333333335,17.214335111615558,13.029453812850631,3287.0
2001-04-01,98598,3287,2001,4,2,91,13,3262.0,3215.0,3248.0,3241.6666666666665,3234.5,24.1315837303519,18.52295872679589,3302.0
2001-05-01,102356,3302,2001,5,2,121,18,3287.0,3262.0,3215.0,3254.6666666666665,3245.3333333333335,36.555893277759715,26.875019379738486,3265.0
2001-06-01,97945,3265,2001,6,2,152,22,3302.0,3287.0,3262.0,3283.6666666666665,3259.0,20.20725942167563,31.811947441091036,3273.0
2001-07-01,101449,3273,2001,7,3,182,26,3265.0,3302.0,3287.0,3284.6666666666665,3263.1666666666665,18.610033136319142,30.43298648935778,3239.0
2001-08-01,100403,3239,2001,8,3,213,31,3273.0,3265.0,3302.0,3280.0,3267.3333333333335,19.467922333972137,29.642312100466484,3263.0
2001-09-01,97885,3263,2001,9,3,244,35,3239.0,3273.0,3265.0,3259.0,3271.3333333333335,17.776388834676307,21.731697279814345,3295.0
2001-10-01,102141,3295,2001,10,4,274,40,3263.0,3239.0,3273.0,3258.3333333333335,3271.5,17.473789896154138,21.649480363159398,3298.0
2001-11-01,98928,3298,2001,11,4,305,44,3295.0,3263.0,3239.0,3265.6666666666665,3272.8333333333335,28.09507667430224,22.999275350791013,3300.0
